,,Base Clean,,,,Base Random,,,,FBFM Clean,,,,FBFM Random,,,,RTC (if Rich in Time),,,,,,,,,
任务名,最大步数,Trials,Success,Success Rate,Status,Trials,Success,Success Rate,Status,Trials,Success,Success Rate,Status,Trials,Success,Success Rate,Status,Trials,Success,Success Rate,Status,,,,,,
put_bottles_dustbin,1700,,,,,,,,,,,,,,,,,,,,,,,,,,
open_microwave,1500,,,,,,,,,1,1,,On Going,,,,,,,,,,,,,,
blocks_ranking_rgb,1200,10,5,50%,Done,,,,,3,2,67%,On Going,,,,,,,,,,,,,,
blocks_ranking_size,1200,10,6,60%,Done,,,,,2,1,50%,On Going,,,,,,,,,,,,,,
stack_blocks_three,1200,,,,,,,,,,,,,,,,,,,,,,,,,,
stack_bowls_three,1200,,,,,,,,,,,,,,,,,,,,,,,,,,
hanging_mug,900,10,0,0%,Done,10,5,50%,Done,1,0,0%,On Going,,,,,,,,,,,,,,
stack_bowls_two,900,20,17,85%,Done,20,15,75%,Done,,,,,,,,,,,,,,,,,,
handover_block,800,10,0,0%,Done,10,1,10%,Done,6,1,0%,On Going,4,0,0%,On Going,,,,,,,,,,
place_cans_plasticbox,800,10,10,100%,Done,10,10,100%,Done,10,10,100%,Done,10,10,100%,Done,,,,,,,,,,
stack_blocks_two,800,10,7,70%,Done,10,7,70%,Done,10,10,100%,Done,10,8,80.00%,Done,,,,,,,,,,
open_laptop,700,10,9,90%,Done,10,9,90%,Done,10,9,90%,Done,10,9,90%,Done,,,,,,,,,,
place_bread_basket,700,10,9,90%,Done,10,8,80%,Done,10,5,50%,Done,10,9,90%,Done,,,,,,,,,,
place_can_basket,700,10,7,70%,Done,10,7,70%,Done,10,10,100%,Done,10,9,90%,Done,,,,,,,,,,
place_object_basket,700,10,9,90%,Done,10,7,70%,Done,10,8,80%,Done,10,7,70%,Done,,,,,,,,,,
put_object_cabinet,700,10,7,70%,Done,10,8,80%,Done,10,6,60%,Done,10,7,70%,Done,,,,,,,,,,
shake_bottle,700,20,20,100%,Done,20,20,100%,Done,10,10,100%,Done,10,10,100%,Done,,,,,,,,,,
shake_bottle_horizontally,700,20,20,100%,Done,20,20,100%,Done,10,10,100%,Done,10,10,100%,Done,,,,,,,,,,
dump_bin_bigbin,600,10,10,100%,Done,10,10,100%,Done,10,10,100%,Done,10,10,100%,Done,,,,,,,,,,
handover_mic,600,10,7,70%,Done,10,8,80%,Done,10,10,100%,Done,10,8,80%,Done,,,,,,,,,,
place_dual_shoes,600,10,0,0%,Done,10,1,10%,Done,10,1,10%,Done,10,1,10%,Done,,,,,,,,,,
place_bread_skillet,500,10,8,80%,Done,10,6,60%,Done,10,7,70%,Done,10,7,70%,Done,,,,,,,,,,
place_burger_fries,500,10,10,100%,Done,10,9,90%,Done,20,18,90,Done,10,10,100%,Done,10,10,100,,,,,,,
place_empty_cup,500,20,20,100%,Done,20,20,100%,Done,20,20,100,Done,10,10,100%,Done,11,11,100,,,,,,,
place_shoe,500,10,5,50%,Done,10,6,60%,Done,20,11,55,Done,10,5,50%,Done,10,6,60,,,,,,,
scan_object,500,10,9,90%,Done,10,8,80%,Done,20,13,65,Done,10,8,80%,Done,11,8,72.72727273,,,,,,,
adjust_bottle,400,20,18,90%,Done,20,20,100%,Done,20,20,100,Done,10,10,100%,Done,10,10,100,,,,,,,
beat_block_hammer,400,10,7,70%,Done,10,9,90%,Done,20,15,75,Done,10,9,90%,Done,10,8,80,,,,,,,
click_alarmclock,400,20,16,80%,Done,20,18,90%,Done,20,20,100,Done,10,10,100%,Done,10,10,100,,,,,,,
click_bell,400,20,20,100%,Done,20,20,100%,Done,20,20,100,Done,10,10,100%,Done,10,10,100,,,,,,,
grab_roller,400,20,19,95%,Done,20,17,85%,Done,20,20,100,Done,10,10,100%,Done,10,10,100,,,,,,,
lift_pot,400,20,20,100%,Done,20,17,85%,Done,20,20,100,Done,10,10,100%,Done,10,10,100,,,,,,,
move_can_pot,400,20,18,90%,Done,20,14,70%,Done,20,19,95,Done,10,9,90%,Done,10,10,100,,,,,,,
move_pillbottle_pad,400,20,18,90%,Done,20,19,95%,Done,20,20,100,Done,10,9,90%,Done,12,12,100,,,,,,,
move_playingcard_away,400,20,17,85%,Done,20,17,85%,Done,10,10,100%,Done,10,10,100%,Done,,,,,,,,,,
move_stapler_pad,400,10,2,20%,Done,10,6,60%,Done,10,4,40%,Done,10,6,60%,Done,,,,,,,,,,
pick_diverse_bottles,400,10,10,100%,Done,10,9,90%,Done,10,10,100%,Done,10,8,80%,Done,,,,,,,,,,
pick_dual_bottles,400,20,18,90%,Done,20,14,70%,Done,10,10,100%,Done,10,8,80%,Done,,,,,,,,,,
place_a2b_left,400,10,9,90%,Done,10,10,100%,Done,10,9,90%,Done,10,10,100%,Done,,,,,,,,,,
place_a2b_right,400,10,9,90%,Done,10,9,90%,Done,10,8,80%,Done,10,10,100%,Done,,,,,,,,,,
place_container_plate,400,20,20,100%,Done,20,17,85%,Done,10,10,100%,Done,10,10,100%,Done,,,,,,,,,,
place_fan,400,10,8,80%,Done,10,9,90%,Done,10,9,90%,Done,10,9,90%,Done,,,,,,,,,,
place_mouse_pad,400,10,5,50%,Done,10,5,50%,Done,10,5,50%,Done,10,5,50%,Done,,,,,,,,,,
place_object_scale,400,10,9,90%,Done,10,8,80%,Done,10,10,100%,Done,10,7,70%,Done,,,,,,,,,,
place_object_stand,400,20,12,60%,Done,20,14,70%,Done,10,7,70%,Done,10,9,90%,Done,,,,,,,,,,
place_phone_stand,400,10,9,90%,Done,10,8,80%,Done,10,8,80%,Done,10,8,80%,Done,,,,,,,,,,
press_stapler,400,20,20,100%,Done,20,18,90%,Done,10,9,90%,Done,10,10,100%,Done,,,,,,,,,,
rotate_qrcode,400,10,9,90%,Done,10,9,90%,Done,10,9,90%,Done,10,9,90%,Done,,,,,,,,,,
stamp_seal,400,10,10,100%,Done,10,9,90%,Done,10,10,100%,Done,10,8,80%,Done,,,,,,,,,,
turn_switch,400,20,12,60%,Done,20,13,65%,Done,10,7,70%,Done,10,5,50%,Done,,,,,,,,,,
