trial_id,l1_success,l1_steps,rms_success,rms_steps,a6000_native_base_success,a6000_native_base_steps
0,true,267,false,480,true,206
1,false,480,false,480,false,480
2,true,211,true,212,false,480
3,false,480,false,480,false,480
4,false,480,false,480,false,480
5,true,202,false,480,false,480
6,true,224,true,168,true,213
7,true,214,true,258,false,480
8,true,210,false,480,true,369
9,false,480,false,480,false,480
10,false,480,false,480,false,480
11,false,480,false,480,false,480
12,true,218,false,480,false,480
13,false,480,true,219,true,339
14,false,480,false,480,false,480
15,false,480,false,480,false,480
16,false,480,false,480,false,480
17,false,480,false,480,false,480
18,false,480,false,480,true,232
19,true,273,false,480,false,480
