"config","task","status","successes","trials","success_rate","source_res_json"
"demo_clean","dump_bin_bigbin","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json"
"demo_clean","handover_block","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/handover_block/client/stseed-10000/metrics/handover_block/res.json"
"demo_clean","handover_mic","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/handover_mic/client/stseed-10000/metrics/handover_mic/res.json"
"demo_clean","move_playingcard_away","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/move_playingcard_away/client/stseed-10000/metrics/move_playingcard_away/res.json"
"demo_clean","move_stapler_pad","complete","4","10","0.4","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json"
"demo_clean","open_laptop","partial_running","3","3","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/open_laptop/client/stseed-10000/metrics/open_laptop/res.json"
"demo_clean","pick_diverse_bottles","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/pick_diverse_bottles/client/stseed-10000/metrics/pick_diverse_bottles/res.json"
"demo_clean","pick_dual_bottles","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/pick_dual_bottles/client/stseed-10000/metrics/pick_dual_bottles/res.json"
"demo_clean","place_a2b_left","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_a2b_left/client/stseed-10000/metrics/place_a2b_left/res.json"
"demo_clean","place_a2b_right","complete","8","10","0.8","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_a2b_right/client/stseed-10000/metrics/place_a2b_right/res.json"
"demo_clean","place_bread_basket","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json"
"demo_clean","place_bread_skillet","partial_running","4","5","0.8","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_bread_skillet/client/stseed-10000/metrics/place_bread_skillet/res.json"
"demo_clean","place_can_basket","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_can_basket/client/stseed-10000/metrics/place_can_basket/res.json"
"demo_clean","place_cans_plasticbox","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_cans_plasticbox/client/stseed-10000/metrics/place_cans_plasticbox/res.json"
"demo_clean","place_container_plate","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_container_plate/client/stseed-10000/metrics/place_container_plate/res.json"
