worker	config	task	max_steps	status	successes	total	success_rate	result
0	demo_randomized	stamp_seal	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json
0	demo_randomized	place_phone_stand	400	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_phone_stand/client/stseed-10000/metrics/place_phone_stand/res.json
0	demo_randomized	place_mouse_pad	400	complete	5	10	0.5	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_mouse_pad/client/stseed-10000/metrics/place_mouse_pad/res.json
0	demo_randomized	place_a2b_right	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_a2b_right/client/stseed-10000/metrics/place_a2b_right/res.json
0	demo_randomized	pick_diverse_bottles	400	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/pick_diverse_bottles/client/stseed-10000/metrics/pick_diverse_bottles/res.json
0	demo_randomized	move_pillbottle_pad	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_pillbottle_pad/client/stseed-10000/metrics/move_pillbottle_pad/res.json
0	demo_randomized	beat_block_hammer	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/beat_block_hammer/client/stseed-10000/metrics/beat_block_hammer/res.json
0	demo_randomized	place_bread_skillet	500	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_bread_skillet/client/stseed-10000/metrics/place_bread_skillet/res.json
0	demo_randomized	dump_bin_bigbin	600	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json
0	demo_randomized	place_bread_basket	700	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json
0	demo_randomized	put_object_cabinet	700	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json
0	demo_randomized	place_cans_plasticbox	800	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_cans_plasticbox/client/stseed-10000/metrics/place_cans_plasticbox/res.json
0	demo_randomized	put_bottles_dustbin	1700	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/put_bottles_dustbin/client/stseed-10000/metrics/put_bottles_dustbin/res.json
1	demo_randomized	turn_switch	400	complete	5	10	0.5	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/turn_switch/client/stseed-10000/metrics/turn_switch/res.json
1	demo_randomized	press_stapler	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/press_stapler/client/stseed-10000/metrics/press_stapler/res.json
1	demo_randomized	place_object_scale	400	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_object_scale/client/stseed-10000/metrics/place_object_scale/res.json
1	demo_randomized	place_container_plate	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_container_plate/client/stseed-10000/metrics/place_container_plate/res.json
1	demo_randomized	pick_dual_bottles	400	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/pick_dual_bottles/client/stseed-10000/metrics/pick_dual_bottles/res.json
1	demo_randomized	move_playingcard_away	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_playingcard_away/client/stseed-10000/metrics/move_playingcard_away/res.json
1	demo_randomized	click_bell	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/click_bell/client/stseed-10000/metrics/click_bell/res.json
1	demo_randomized	place_burger_fries	500	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json
1	demo_clean	place_bread_skillet	500	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_bread_skillet/client/stseed-10000/metrics/place_bread_skillet/res.json
1	demo_clean	dump_bin_bigbin	600	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json
1	demo_clean	place_bread_basket	700	complete	5	10	0.5	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json
1	demo_clean	put_object_cabinet	700	complete	6	10	0.6	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json
1	demo_clean	place_cans_plasticbox	800	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_cans_plasticbox/client/stseed-10000/metrics/place_cans_plasticbox/res.json
1	demo_randomized	open_microwave	1500	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/open_microwave/client/stseed-10000/metrics/open_microwave/res.json
2	demo_clean	rotate_qrcode	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json
2	demo_clean	place_object_stand	400	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_object_stand/client/stseed-10000/metrics/place_object_stand/res.json
2	demo_clean	place_fan	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_fan/client/stseed-10000/metrics/place_fan/res.json
2	demo_clean	place_a2b_left	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_a2b_left/client/stseed-10000/metrics/place_a2b_left/res.json
2	demo_clean	move_stapler_pad	400	complete	4	10	0.4	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json
2	demo_randomized	grab_roller	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/grab_roller/client/stseed-10000/metrics/grab_roller/res.json
2	demo_randomized	place_empty_cup	500	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_empty_cup/client/stseed-10000/metrics/place_empty_cup/res.json
2	demo_clean	handover_mic	600	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/handover_mic/client/stseed-10000/metrics/handover_mic/res.json
2	demo_clean	open_laptop	700	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/open_laptop/client/stseed-10000/metrics/open_laptop/res.json
2	demo_clean	place_can_basket	700	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_can_basket/client/stseed-10000/metrics/place_can_basket/res.json
2	demo_clean	shake_bottle	700	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/shake_bottle/client/stseed-10000/metrics/shake_bottle/res.json
2	demo_randomized	hanging_mug	900	partial_stopped	3	4	0.75	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/hanging_mug/client/stseed-10000/metrics/hanging_mug/res.json
2	demo_randomized	blocks_ranking_rgb	1200	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/blocks_ranking_rgb/client/stseed-10000/metrics/blocks_ranking_rgb/res.json
3	demo_randomized	rotate_qrcode	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json
3	demo_randomized	place_object_stand	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_object_stand/client/stseed-10000/metrics/place_object_stand/res.json
3	demo_randomized	place_fan	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_fan/client/stseed-10000/metrics/place_fan/res.json
3	demo_randomized	place_a2b_left	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_a2b_left/client/stseed-10000/metrics/place_a2b_left/res.json
3	demo_randomized	move_stapler_pad	400	complete	6	10	0.6	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json
3	demo_randomized	lift_pot	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/lift_pot/client/stseed-10000/metrics/lift_pot/res.json
