config,task,max_steps,status,successes,effective_trials,success_rate,missing_trials,source,selected_seeds
demo_clean,dump_bin_bigbin,600,complete,10,10,1.00000000,0,canonical,10000;10003;10004;10005;10007;10008;10009;10010;10014;10015
demo_clean,handover_block,800,complete,1,10,0.10000000,0,canonical,10000;10004;10005;20000;20001;20002;30000;30001;40000;40001
demo_clean,handover_mic,600,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10004;10006;10008;10011;10012;10013
demo_clean,open_laptop,700,complete,9,10,0.90000000,0,canonical,10000;10001;10002;10003;10004;10006;10007;10008;10009;10010
demo_clean,place_bread_basket,700,complete,5,10,0.50000000,0,canonical,10000;10001;10002;10003;10004;20000;20001;20002;30000;30001
demo_clean,place_bread_skillet,500,complete,7,10,0.70000000,0,canonical,10002;10005;10006;10007;10009;10011;10013;10015;10018;10019
demo_clean,place_can_basket,700,complete,10,10,1.00000000,0,canonical,10001;10002;10003;10004;10005;10006;10008;10010;10011;10012
demo_clean,place_cans_plasticbox,800,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009
demo_clean,place_dual_shoes,600,complete,1,10,0.10000000,0,canonical,10001;10003;10006;10007;10008;10009;10010;10011;10014;10015
demo_clean,place_object_basket,700,complete,8,10,0.80000000,0,canonical,10000;10001;10002;10003;10004;10005;10006;10008;20002;20004
demo_clean,put_object_cabinet,700,complete,6,10,0.60000000,0,canonical,10003;10010;10012;10019;10030;20000;20025;20036;30010;30023
demo_clean,shake_bottle,700,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009
demo_clean,shake_bottle_horizontally,700,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009
demo_clean,stack_blocks_two,800,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009
demo_randomized,dump_bin_bigbin,600,complete,10,10,1.00000000,0,canonical,10000;10002;10003;10005;10006;10007;10009;10010;10013;10014
demo_randomized,handover_block,800,complete,0,10,0.00000000,0,canonical,10000;10001;10002;10003;20000;20002;20003;30000;30002;30004
demo_randomized,handover_mic,600,complete,8,10,0.80000000,0,canonical,10000;10002;10003;10004;10005;10006;10008;10010;10012;10014
demo_randomized,open_laptop,700,complete,9,10,0.90000000,0,canonical,10000;10001;10002;10003;10004;10005;10006;10010;10012;10013
demo_randomized,place_bread_basket,700,complete,9,10,0.90000000,0,canonical,10001;10002;10003;10004;10006;10007;10009;10010;10011;10012
demo_randomized,place_bread_skillet,500,complete,7,10,0.70000000,0,canonical,10001;10002;10004;10006;10009;10010;10014;10019;10024;10028
demo_randomized,place_burger_fries,500,complete,10,10,1.00000000,0,canonical,10002;10003;10004;10005;10006;10007;10009;10010;10011;10012
demo_randomized,place_can_basket,700,complete,9,10,0.90000000,0,canonical,10000;10001;10002;10003;10005;10006;10007;10008;10009;10010
demo_randomized,place_cans_plasticbox,800,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10005;10006;10007;10009;10010;10011
demo_randomized,place_dual_shoes,600,complete,1,10,0.10000000,0,canonical,10000;10001;10003;10004;10007;10011;10012;10014;10016;10018
demo_randomized,place_empty_cup,500,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10004;10005;10006;10008;10012;10013
demo_randomized,place_object_basket,700,complete,7,10,0.70000000,0,canonical,10000;10001;10002;10003;10004;10005;10006;10007;10009;10011
demo_randomized,place_shoe,500,complete,5,10,0.50000000,0,canonical,10000;10001;10003;10004;10006;10007;10009;10010;10011;10012
demo_randomized,put_object_cabinet,700,complete,7,10,0.70000000,0,canonical,10051;10057;10085;10104;20035;20045;30003;30005;30006;30009
demo_randomized,scan_object,500,complete,8,10,0.80000000,0,canonical,10005;10006;10010;10017;10018;10023;10024;10026;10027;10033
demo_randomized,shake_bottle,700,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10006;10007;10008;10010;10011;10012
demo_randomized,shake_bottle_horizontally,700,complete,10,10,1.00000000,0,canonical,10000;10001;10002;10003;10006;10007;10008;10010;10011;10012
demo_randomized,stack_blocks_two,800,complete,8,10,0.80000000,0,canonical,10000;10001;10002;10003;10005;10006;30000;30001;30002;30003
