source_kind,source_path,mode,config,task,successes,trials,initial_eval_seed,episode_seeds,validation
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json,FBFM,demo_clean,dump_bin_bigbin,10,10,10000,10000;10003;10004;10005;10007;10008;10009;10010;10014;10015,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/handover_block/client/stseed-10000/metrics/handover_block/res.json,FBFM,demo_clean,handover_block,1,10,10000,10000;10004;10005;20000;20001;20002;30000;30001;40000;40001,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/handover_mic/client/stseed-10000/metrics/handover_mic/res.json,FBFM,demo_clean,handover_mic,10,10,10000,10000;10001;10002;10003;10004;10006;10008;10011;10012;10013,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/move_playingcard_away/client/stseed-10000/metrics/move_playingcard_away/res.json,FBFM,demo_clean,move_playingcard_away,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json,FBFM,demo_clean,move_stapler_pad,4,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/open_laptop/client/stseed-10000/metrics/open_laptop/res.json,FBFM,demo_clean,open_laptop,9,10,10000,10000;10001;10002;10003;10004;10006;10007;10008;10009;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/pick_diverse_bottles/client/stseed-10000/metrics/pick_diverse_bottles/res.json,FBFM,demo_clean,pick_diverse_bottles,10,10,10000,10003;10004;10008;10010;10014;10022;10024;10026;10027;10028,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/pick_dual_bottles/client/stseed-10000/metrics/pick_dual_bottles/res.json,FBFM,demo_clean,pick_dual_bottles,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_a2b_left/client/stseed-10000/metrics/place_a2b_left/res.json,FBFM,demo_clean,place_a2b_left,9,10,10000,10000;10001;10002;10004;10005;10006;10007;10009;10010;10011,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_a2b_right/client/stseed-10000/metrics/place_a2b_right/res.json,FBFM,demo_clean,place_a2b_right,8,10,10000,10000;10001;10002;10004;10005;10006;10007;10008;10009;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json,FBFM,demo_clean,place_bread_basket,5,10,10000,10000;10001;10002;10003;10004;20000;20001;20002;30000;30001,ok
