node	gpu	order	mode	config	task	eval_seed	test_num	max_steps
dream-shards	0	1	FBFM	demo_clean	handover_block	1	3	800
dream-shards	1	1	FBFM	demo_clean	handover_block	2	3	800
lingbot-shards	0	1	FBFM	demo_clean	handover_block	3	3	800
lingbot-shards	1	1	FBFM	demo_randomized	handover_block	1	5	800
lingbot-shards	2	1	FBFM	demo_randomized	handover_block	2	5	800
lingbot-shards	3	1	FBFM	demo_clean	place_bread_basket	1	4	700
lingbot-shards	4	1	FBFM	demo_clean	place_bread_basket	2	4	700
lingbot-shards	5	1	FBFM	demo_clean	place_object_basket	1	3	700
lingbot-shards	7	1	FBFM	demo_clean	place_object_basket	2	3	700
aux-shards	3	1	FBFM	demo_clean	put_object_cabinet	1	7	700
aux-shards	4	1	FBFM	demo_randomized	put_object_cabinet	1	4	700
aux-shards	7	1	FBFM	demo_randomized	put_object_cabinet	2	4	700
ego-shards	2	1	FBFM	demo_randomized	stack_blocks_two	1	4	800
ego-shards	3	1	FBFM	demo_randomized	stack_blocks_two	2	4	800
