unit,task,trial_id,wave_id,condition,normalized_action_channel,channel_value_count,channel_rms
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,0,16,0.004902608692646027
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,1,16,0.005265763495117426
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,2,16,0.010503013618290424
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,3,16,0.0052815694361925125
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,4,16,0.005572613328695297
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,5,16,0.0037186392582952976
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,6,16,0.007532836403697729
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,7,16,0.004026470240205526
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,8,16,0.002183660166338086
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,9,16,0.0063897715881466866
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,10,16,0.0008379557984881103
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,11,16,0.0012549194507300854
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,12,16,0.0015074813272804022
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,13,16,0.0009765625
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,28,16,0.002183660166338086
Adjust / T20,adjust_bottle,20,0,rtc_vs_fbfm_cache_switch,29,16,0.0029296875
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,0,16,0.00030517578125
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,1,16,0.0011516090016812086
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,2,16,0.0006905339541845024
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,3,16,0.001091830083169043
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,4,16,0.0009765625
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,5,16,0.0011960399569943547
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,6,16,0.0016914558364078403
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,7,16,0.0013810679083690047
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,8,16,0.0
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,9,16,0.0006905339541845024
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,10,16,0.0003121896297670901
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,11,16,0.00034612990566529334
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,12,16,0.0004847668169531971
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,13,16,0.0
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,28,16,0.0009765625
Adjust / T20,adjust_bottle,20,0,same_cache_repeat_floor,29,16,0.0
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,0,16,0.0023920799139887094
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,1,16,0.005519549362361431
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,2,16,0.009447298012673855
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,3,16,0.0013810679083690047
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,4,16,0.001291870721615851
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,5,16,0.004683429375290871
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,6,16,0.003201874205842614
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,7,16,0.001953125
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,8,16,0.0
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,9,16,0.0010066175600513816
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,10,16,0.0009810003684833646
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,11,16,0.0005428442964330316
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,12,16,0.0013656256487593055
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,13,16,0.0027621358167380095
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,28,16,0.0009765625
Adjust / T20,adjust_bottle,20,1,rtc_vs_fbfm_cache_switch,29,16,0.0033829116728156805
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,0,16,0.0009765625
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,1,16,0.00048059129039756954
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,2,16,0.0004094362666364759
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,3,16,0.0009765625
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,4,16,0.0006905339541845024
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,5,16,0.0009765625
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,6,16,0.0008457279182039201
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,7,16,0.0013810679083690047
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,8,16,0.0
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,9,16,0.0005459150415845215
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,10,16,0.00037087019882164896
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,11,16,0.0003261510282754898
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,12,16,0.00030664782389067113
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,13,16,0.0
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,28,16,0.0
Adjust / T20,adjust_bottle,20,1,same_cache_repeat_floor,29,16,0.001953125
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,0,16,0.007108761928975582
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,1,16,0.003490362549200654
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,2,16,0.024594062939286232
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,3,16,0.001291870721615851
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,4,16,0.007701079361140728
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,5,16,0.004312383010983467
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,6,16,0.0029296875
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,7,16,0.0013810679083690047
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,8,16,0.0013810679083690047
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,9,16,0.0016377450665459037
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,10,16,0.0010203584097325802
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,11,16,0.001380477799102664
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,12,16,0.0006385317537933588
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,13,16,0.0016914558364078403
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,28,16,0.0009765625
Adjust / T21,adjust_bottle,21,0,rtc_vs_fbfm_cache_switch,29,16,0.0009765625
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,0,16,0.0004485149693209678
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,1,16,0.000608058413490653
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,2,16,0.0017605230677872896
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,3,16,0.001091830083169043
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,4,16,0.0007720404537394643
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,5,16,0.0011960399569943547
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,6,16,0.0013810679083690047
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,7,16,0.0
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,8,16,0.0009765625
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,9,16,0.0007720404537394643
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,10,16,0.0003479643783066422
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,11,16,0.0003200710634700954
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,12,16,0.00034729461185634136
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,13,16,0.001953125
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,28,16,0.0
Adjust / T21,adjust_bottle,21,0,same_cache_repeat_floor,29,16,0.0009765625
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,0,16,0.020203281193971634
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,1,16,0.005525620188564062
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,2,16,0.01353219710290432
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,3,16,0.01238156482577324
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,4,16,0.010852592997252941
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,5,16,0.010517899878323078
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,6,16,0.006098630838096142
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,7,16,0.0032388914842158556
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,8,16,0.0033829116728156805
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,9,16,0.001708984375
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,10,16,0.0011306476080790162
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,11,16,0.0010874500731006265
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,12,16,0.00106708612293005
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,13,16,0.004367320332676172
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,28,16,0.0029296875
Adjust / T21,adjust_bottle,21,1,rtc_vs_fbfm_cache_switch,29,16,0.005940197966992855
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,0,16,0.0009765625
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,1,16,0.0005459150415845215
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,2,16,0.000791106023825705
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,3,16,0.0008457279182039201
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,4,16,0.001291870721615851
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,5,16,0.0013810679083690047
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,6,16,0.0013810679083690047
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,7,16,0.0009765625
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,8,16,0.0
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,9,16,0.00042286395910196006
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,10,16,0.00036673707654699683
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,11,16,0.000450538209406659
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,12,16,0.0005744381924159825
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,13,16,0.0027621358167380095
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,28,16,0.0023920799139887094
Adjust / T21,adjust_bottle,21,1,same_cache_repeat_floor,29,16,0.0033829116728156805
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,0,16,0.009518354199826717
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,1,16,0.02076926827430725
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,2,16,0.016515424475073814
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,3,16,0.009826470166444778
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,4,16,0.0019111899891868234
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,5,16,0.0017489128513261676
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,6,16,0.0033829116728156805
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,7,16,0.0029296875
Pick / T20,pick_diverse_bottles,20,0,rtc_vs_fbfm_cache_switch,8,16,0.009074554778635502
