unit,task,trial_id,condition,normalized_action_channel,probe_count,channel_rms
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,0,2,0.003647344303317368
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,1,2,0.0053926564287394285
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,2,2,0.00997515581548214
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,3,2,0.0033313186722807586
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,4,2,0.003432242025155574
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,5,2,0.004201034316793084
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,6,2,0.005367355304770172
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,7,2,0.002989797620102763
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,8,2,0.001091830083169043
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,9,2,0.003698194574099034
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,10,2,0.0009094780834857374
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,11,2,0.0008988818735815585
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,12,2,0.0014365534880198538
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,13,2,0.0018693491583690047
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,28,2,0.001580111333169043
Adjust / T20,adjust_bottle,20,rtc_vs_fbfm_cache_switch,29,2,0.0031562995864078403
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,0,2,0.000640869140625
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,1,2,0.0008161001460393891
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,2,2,0.0005499851104104891
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,3,2,0.0010341962915845215
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,4,2,0.0008335482270922512
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,5,2,0.0010863012284971774
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,6,2,0.0012685918773058802
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,7,2,0.0013810679083690047
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,8,2,0.0
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,9,2,0.000618224497884512
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,10,2,0.0003415299142943695
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,11,2,0.00033614046697039157
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,12,2,0.00039570732042193413
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,13,2,0.0
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,28,2,0.00048828125
Adjust / T20,adjust_bottle,20,same_cache_repeat_floor,29,2,0.0009765625
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,0,2,0.013656021561473608
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,1,2,0.004507991368882358
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,2,2,0.019063130021095276
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,3,2,0.006836717773694545
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,4,2,0.009276836179196835
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,5,2,0.007415141444653273
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,6,2,0.004514159169048071
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,7,2,0.00230997969629243
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,8,2,0.0023819897905923426
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,9,2,0.0016733647207729518
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,10,2,0.0010755030089057982
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,11,2,0.0012339639361016452
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,12,2,0.0008528089383617043
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,13,2,0.0030293880845420063
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,28,2,0.001953125
Adjust / T21,adjust_bottle,21,rtc_vs_fbfm_cache_switch,29,2,0.0034583802334964275
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,0,2,0.0007125387346604839
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,1,2,0.0005769867275375873
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,2,2,0.0012758145458064973
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,3,2,0.0009687790006864816
