task,trial_id,method,horizon_frame,equal_camera_mean_rgb_mse,unit
adjust_bottle,20,FBFM,1,0.0205619957608481,Adjust / T20
adjust_bottle,20,FBFM,2,0.0251965535183747,Adjust / T20
adjust_bottle,20,FBFM,3,0.0261735706590116,Adjust / T20
adjust_bottle,20,FBFM,4,0.0337591771967709,Adjust / T20
adjust_bottle,20,RTC,1,0.0177077876093486,Adjust / T20
adjust_bottle,20,RTC,2,0.0217406819574534,Adjust / T20
adjust_bottle,20,RTC,3,0.0251318120087186,Adjust / T20
adjust_bottle,20,RTC,4,0.0341932931914925,Adjust / T20
adjust_bottle,21,FBFM,1,0.0234086640800039,Adjust / T21
adjust_bottle,21,FBFM,2,0.0214310105269153,Adjust / T21
adjust_bottle,21,FBFM,3,0.0238031654929121,Adjust / T21
adjust_bottle,21,FBFM,4,0.0314742897947629,Adjust / T21
adjust_bottle,21,RTC,1,0.0244728388885657,Adjust / T21
adjust_bottle,21,RTC,2,0.0224552964791655,Adjust / T21
adjust_bottle,21,RTC,3,0.0243429103866219,Adjust / T21
adjust_bottle,21,RTC,4,0.0314626966913541,Adjust / T21
pick_diverse_bottles,20,FBFM,1,0.0299894316121935,Pick / T20
pick_diverse_bottles,20,FBFM,2,0.0305762495845556,Pick / T20
pick_diverse_bottles,20,FBFM,3,0.0337035271028677,Pick / T20
pick_diverse_bottles,20,FBFM,4,0.0375017977009216,Pick / T20
pick_diverse_bottles,20,RTC,1,0.0298389988020062,Pick / T20
pick_diverse_bottles,20,RTC,2,0.0306674279272556,Pick / T20
pick_diverse_bottles,20,RTC,3,0.0332112675532698,Pick / T20
pick_diverse_bottles,20,RTC,4,0.0366187725837032,Pick / T20
pick_diverse_bottles,21,FBFM,1,0.0210991259664297,Pick / T21
pick_diverse_bottles,21,FBFM,2,0.0223699500784277,Pick / T21
pick_diverse_bottles,21,FBFM,3,0.03138386644423,Pick / T21
pick_diverse_bottles,21,FBFM,4,0.0436898196736971,Pick / T21
pick_diverse_bottles,21,RTC,1,0.0204457861060897,Pick / T21
pick_diverse_bottles,21,RTC,2,0.0226013098532954,Pick / T21
pick_diverse_bottles,21,RTC,3,0.0312139938275019,Pick / T21
pick_diverse_bottles,21,RTC,4,0.0426972365627686,Pick / T21
