denoising_solver_step,independent_units,mean_velocity_rms,min_unit_velocity_rms,max_unit_velocity_rms,condition
0,4,0.010905590490438,0.007164416834712,0.0146459587849676,rtc_vs_fbfm_cache_switch
1,4,0.010798716393765,0.0074156413320451,0.0144205531105399,rtc_vs_fbfm_cache_switch
2,4,0.0108315630350261,0.0073834906797856,0.0143134067766368,rtc_vs_fbfm_cache_switch
3,4,0.0108107883133925,0.0068712199572473,0.0149649456143379,rtc_vs_fbfm_cache_switch
4,4,0.010861515358556,0.0073485777247697,0.0142365493811666,rtc_vs_fbfm_cache_switch
5,4,0.010708172165323,0.0070567459333688,0.0142431799322366,rtc_vs_fbfm_cache_switch
6,4,0.0108962774975225,0.0068349638022482,0.014747048728168,rtc_vs_fbfm_cache_switch
7,4,0.0108952597365714,0.0070864951703697,0.0144968777894973,rtc_vs_fbfm_cache_switch
8,4,0.0109423326794058,0.0073437793180346,0.0145524344407022,rtc_vs_fbfm_cache_switch
9,4,0.0111811064416542,0.0072533381171524,0.0150054688565433,rtc_vs_fbfm_cache_switch
10,4,0.0113218834158033,0.0073537142015993,0.0150580876506865,rtc_vs_fbfm_cache_switch
11,4,0.0114447824889794,0.0071642654947936,0.0149806621484458,rtc_vs_fbfm_cache_switch
12,4,0.011609497887548,0.0076241747010499,0.0149857699871063,rtc_vs_fbfm_cache_switch
13,4,0.011501375993248,0.0074036053847521,0.0152388485148549,rtc_vs_fbfm_cache_switch
14,4,0.0114657584927044,0.0074578786734491,0.0150314485654234,rtc_vs_fbfm_cache_switch
15,4,0.011441585724242,0.0071720168925821,0.0153266624547541,rtc_vs_fbfm_cache_switch
16,4,0.0119144378695636,0.0079967617057263,0.0154887805692851,rtc_vs_fbfm_cache_switch
17,4,0.0118580409325659,0.0076001225970685,0.0157766067422926,rtc_vs_fbfm_cache_switch
18,4,0.0119778989464975,0.0079190398100763,0.0158151690848171,rtc_vs_fbfm_cache_switch
19,4,0.0120206048013642,0.0076274732127785,0.0157696292735636,rtc_vs_fbfm_cache_switch
