task,trial_id,method,horizon_frame,equal_camera_mean_rgb_mse
adjust_bottle,20,FBFM,1,0.020561995760848124
adjust_bottle,20,FBFM,2,0.02519655351837476
adjust_bottle,20,FBFM,3,0.026173570659011602
adjust_bottle,20,FBFM,4,0.033759177196770906
adjust_bottle,20,RTC,1,0.017707787609348696
adjust_bottle,20,RTC,2,0.02174068195745349
adjust_bottle,20,RTC,3,0.02513181200871865
adjust_bottle,20,RTC,4,0.03419329319149256
adjust_bottle,21,FBFM,1,0.0234086640800039
adjust_bottle,21,FBFM,2,0.02143101052691539
adjust_bottle,21,FBFM,3,0.023803165492912132
adjust_bottle,21,FBFM,4,0.03147428979476293
adjust_bottle,21,RTC,1,0.0244728388885657
adjust_bottle,21,RTC,2,0.022455296479165554
adjust_bottle,21,RTC,3,0.024342910386621952
adjust_bottle,21,RTC,4,0.03146269669135412
pick_diverse_bottles,20,FBFM,1,0.029989431612193584
pick_diverse_bottles,20,FBFM,2,0.030576249584555626
pick_diverse_bottles,20,FBFM,3,0.03370352710286776
pick_diverse_bottles,20,FBFM,4,0.03750179770092169
pick_diverse_bottles,20,RTC,1,0.029838998802006245
pick_diverse_bottles,20,RTC,2,0.03066742792725563
pick_diverse_bottles,20,RTC,3,0.03321126755326986
pick_diverse_bottles,20,RTC,4,0.0366187725837032
pick_diverse_bottles,21,FBFM,1,0.02109912596642971
pick_diverse_bottles,21,FBFM,2,0.02236995007842779
pick_diverse_bottles,21,FBFM,3,0.03138386644423008
pick_diverse_bottles,21,FBFM,4,0.04368981967369715
pick_diverse_bottles,21,RTC,1,0.020445786106089752
pick_diverse_bottles,21,RTC,2,0.022601309853295486
pick_diverse_bottles,21,RTC,3,0.031213993827501934
pick_diverse_bottles,21,RTC,4,0.042697236562768616
