task,trial_id,wave_id,method,horizon,camera,rgb_mse_0_1
adjust_bottle,20,0,RTC,1,observation.images.cam_high,0.018194403499364853
adjust_bottle,20,0,RTC,2,observation.images.cam_high,0.029217371717095375
adjust_bottle,20,0,RTC,3,observation.images.cam_high,0.04461653530597687
adjust_bottle,20,0,RTC,4,observation.images.cam_high,0.07525499165058136
adjust_bottle,20,0,RTC,1,observation.images.cam_left_wrist,0.02981371060013771
adjust_bottle,20,0,RTC,2,observation.images.cam_left_wrist,0.03163694590330124
adjust_bottle,20,0,RTC,3,observation.images.cam_left_wrist,0.02683393284678459
adjust_bottle,20,0,RTC,4,observation.images.cam_left_wrist,0.02311893180012703
adjust_bottle,20,0,RTC,1,observation.images.cam_right_wrist,0.00511524872854352
adjust_bottle,20,0,RTC,2,observation.images.cam_right_wrist,0.004367728251963854
adjust_bottle,20,0,RTC,3,observation.images.cam_right_wrist,0.003944967873394489
adjust_bottle,20,0,RTC,4,observation.images.cam_right_wrist,0.004205956123769283
adjust_bottle,21,0,RTC,1,observation.images.cam_high,0.028284458443522453
adjust_bottle,21,0,RTC,2,observation.images.cam_high,0.027428414672613144
adjust_bottle,21,0,RTC,3,observation.images.cam_high,0.02991279400885105
adjust_bottle,21,0,RTC,4,observation.images.cam_high,0.06198400631546974
adjust_bottle,21,0,RTC,1,observation.images.cam_left_wrist,0.035677410662174225
adjust_bottle,21,0,RTC,2,observation.images.cam_left_wrist,0.03168777748942375
adjust_bottle,21,0,RTC,3,observation.images.cam_left_wrist,0.028290867805480957
adjust_bottle,21,0,RTC,4,observation.images.cam_left_wrist,0.027356278151273727
adjust_bottle,21,0,RTC,1,observation.images.cam_right_wrist,0.00945664756000042
adjust_bottle,21,0,RTC,2,observation.images.cam_right_wrist,0.008249697275459766
adjust_bottle,21,0,RTC,3,observation.images.cam_right_wrist,0.014825069345533848
adjust_bottle,21,0,RTC,4,observation.images.cam_right_wrist,0.005047805607318878
adjust_bottle,20,0,FBFM,1,observation.images.cam_high,0.02233378030359745
adjust_bottle,20,0,FBFM,2,observation.images.cam_high,0.031008364632725716
