"config","task","status","successes","trials","success_rate","source_res_json"
"demo_clean","beat_block_hammer","complete","7","10","0.7","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/beat_block_hammer/client/stseed-10000/metrics/beat_block_hammer/res.json"
"demo_clean","blocks_ranking_rgb","complete","5","10","0.5","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/blocks_ranking_rgb/client/stseed-10000/metrics/blocks_ranking_rgb/res.json"
"demo_clean","blocks_ranking_size","complete","6","10","0.6","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/blocks_ranking_size/client/stseed-10000/metrics/blocks_ranking_size/res.json"
"demo_clean","dump_bin_bigbin","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json"
"demo_clean","handover_block","complete","0","10","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/handover_block/client/stseed-10000/metrics/handover_block/res.json"
"demo_clean","handover_mic","complete","7","10","0.7","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/handover_mic/client/stseed-10000/metrics/handover_mic/res.json"
"demo_clean","hanging_mug","complete","0","10","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/hanging_mug/client/stseed-10000/metrics/hanging_mug/res.json"
"demo_clean","move_stapler_pad","complete","2","10","0.2","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json"
"demo_clean","open_laptop","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/open_laptop/client/stseed-10000/metrics/open_laptop/res.json"
"demo_clean","open_microwave","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/open_microwave/client/stseed-10000/metrics/open_microwave/res.json"
