"config","task","status","successes","failures","episodes_completed","episodes_required","success_rate","wilson_95_low","wilson_95_high","source_res_json"
"demo_clean","beat_block_hammer","complete","7","3","10","10","0.7","0.396778147461145","0.892208732593699","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/beat_block_hammer/client/stseed-10000/metrics/beat_block_hammer/res.json"
"demo_clean","blocks_ranking_rgb","complete","5","5","10","10","0.5","0.236593090512564","0.763406909487436","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/blocks_ranking_rgb/client/stseed-10000/metrics/blocks_ranking_rgb/res.json"
"demo_clean","blocks_ranking_size","complete","6","4","10","10","0.6","0.312673769733658","0.831819670293764","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/blocks_ranking_size/client/stseed-10000/metrics/blocks_ranking_size/res.json"
"demo_clean","dump_bin_bigbin","complete","10","0","10","10","1","0.722467200137111","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json"
"demo_clean","handover_block","complete","0","10","10","10","0","0","0.277532799862889","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/handover_block/client/stseed-10000/metrics/handover_block/res.json"
"demo_clean","handover_mic","complete","7","3","10","10","0.7","0.396778147461145","0.892208732593699","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/handover_mic/client/stseed-10000/metrics/handover_mic/res.json"
"demo_clean","hanging_mug","complete","0","10","10","10","0","0","0.277532799862889","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/hanging_mug/client/stseed-10000/metrics/hanging_mug/res.json"
"demo_clean","move_stapler_pad","complete","2","8","10","10","0.2","0.0566821514543752","0.509837528463358","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json"
"demo_clean","open_laptop","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/open_laptop/client/stseed-10000/metrics/open_laptop/res.json"
"demo_clean","pick_diverse_bottles","complete","10","0","10","10","1","0.722467200137111","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/pick_diverse_bottles/client/stseed-10000/metrics/pick_diverse_bottles/res.json"
"demo_clean","place_a2b_left","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_a2b_left/client/stseed-10000/metrics/place_a2b_left/res.json"
"demo_clean","place_a2b_right","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_a2b_right/client/stseed-10000/metrics/place_a2b_right/res.json"
"demo_clean","place_bread_basket","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json"
"demo_clean","place_bread_skillet","complete","8","2","10","10","0.8","0.490162471536642","0.943317848545625","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_bread_skillet/client/stseed-10000/metrics/place_bread_skillet/res.json"
