task,stage,video_index,nominal_seed,actual_seed,success,video_size_bytes,source_status,result,client_log,server_log,video
place_burger_fries,stage1,0,10000,10000,true,219213,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/0_Set_the_hamburg_box_with_foldable_top_and_the_golden_fries_in_red_packaging_on_the_tray_for_serving_items_using_two_arms._True.mp4
place_burger_fries,stage1,1,10001,10001,true,253330,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/1_Place_the_decorative_rounded_hamburg_and_the_crispy_fries_in_hand-sized_pouch_on_the_rectangular_plastic_tray_after_picking_them_up._True.mp4
place_burger_fries,stage1,2,10002,10002,true,199057,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,"/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/2_Lift_the_hand-sized_orange_hamburg,_lift_the_Golden_fries_sticks_in_red_carton,_then_set_both_on_the_tray_with_rounded_corners._True.mp4"
place_burger_fries,stage1,3,10003,10003,true,196910,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/3_Use_dual_arms_to_move_the_yellow_and_green_hamburg_holder_and_the_Palm-sized_red_fries_container_onto_the_flat_tray_with_rounded_corners_True.mp4
place_burger_fries,stage1,4,10004,10004,true,223828,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,"/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/4_Lift_the_hamburg_with_printed_illustrations_and_the_golden_fries_in_red_packaging,_placing_them_neatly_on_the_rectangular_beige_tray_for_objects._True.mp4"
place_burger_fries,stage1,5,10005,10005,true,185890,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,"/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/5_Grab_the_hamburg_with_white_patches,_grab_the_Handheld_fries_pack_bright_red_color,_and_set_both_onto_the_medium_rectangular_flat_tray._True.mp4"
place_burger_fries,stage1,6,10006,10006,true,215871,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/6_Use_both_arms_to_transfer_the_hamburg_with_printed_wrapper_and_the_golden_fries_in_red_packaging_to_the_tray_with_smooth_plastic_surface._True.mp4
place_burger_fries,stage1,7,10007,10007,true,229845,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,"/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/7_Grab_the_smooth_yellow_hamburg_packaging,_pick_the_McDonald's_fries_bag,_then_set_them_on_the_flat_green_rectangular_tray_True.mp4"
place_burger_fries,stage1,8,10008,10008,true,188038,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,"/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/8_Lift_the_small_soft_hamburg_in_paper_and_the_Small_red_box_fries_inside,_position_them_on_the_tray_for_holding_objects_True.mp4"
place_burger_fries,stage1,9,10009,10009,true,206339,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/logs/server.log,"/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_10/tasks/place_burger_fries/client/stseed-10000/visualization/place_burger_fries/9_Grab_the_hamburg_wrapped_in_white_paper_and_the_rectangular_red_fries_packet,_use_both_arms_to_set_on_the_plastic_tray_for_holding_items._True.mp4"
place_burger_fries,stage2,0,20000,20000,true,205267,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/client/stseed-20000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/logs/server.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/client/stseed-20000/visualization/place_burger_fries/0_Put_the_white_hamburg_with_creased_wrapper_and_the_Open-top_red_box_filled_with_fries_on_the_rectangular_beige_tray_for_objects_using_both_arms_True.mp4
place_burger_fries,stage2,1,20001,20002,true,203317,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/client/stseed-20000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/logs/server.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/client/stseed-20000/visualization/place_burger_fries/1_Move_the_hamburg_with_rounded_rectangular_shape_and_the_Small_red_box_fries_inside_to_the_bright_orange_rectangular_tray_with_both_arms_True.mp4
place_burger_fries,stage2,2,20002,20003,true,290283,complete,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/client/stseed-20000/metrics/place_burger_fries/res.json,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/logs/client.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/logs/server.log,/home/oem/tmp_ws/FBFM/wam/lingbot-va/robotwin_outputs/rtc_short_le800_clean_stage2_seed20000_10/tasks/place_burger_fries/client/stseed-20000/visualization/place_burger_fries/2_Transfer_the_medium-sized_box_with_hamburg_design_and_the_McDonald's_logo_on_red_fries_box_to_the_flat_brown_tray_with_raised_edges_with_both_arms_True.mp4
